Department,Language,Listing Count
All departments,English,37
Research & Development,English,10
Quality Assurance,English,12
Corporate Information Systems,English,6
Technical Customer Support,English,3
Technical Documentation Development,English,2
Product Management,English,2
IT,English,1
Other,English,1
Finance,English,0
HR,English,0
Facilities,English,0
Purchasing,English,0
Legal,English,0
All departments,Russian,4
Research & Development,Russian,0
Quality Assurance,Russian,1
Corporate Information Systems,Russian,1
Technical Customer Support,Russian,0
Technical Documentation Development,Russian,0
Product Management,Russian,2
IT,Russian,0
Other,Russian,0
Finance,Russian,0
HR,Russian,0
Facilities,Russian,0
Purchasing,Russian,0
Legal,Russian,0
All departments,French,1
Research & Development,French,0
Quality Assurance,French,0
Corporate Information Systems,French,0
Technical Customer Support,French,1
Technical Documentation Development,French,0
Product Management,French,0
IT,French,0
Other,French,0
Finance,French,0
HR,French,0
Facilities,French,0
Purchasing,French,0
Legal,French,0
All departments,German,1
Research & Development,German,0
Quality Assurance,German,0
Corporate Information Systems,German,0
Technical Customer Support,German,1
Technical Documentation Development,German,0
Product Management,German,0
IT,German,0
Other,German,0
Finance,German,0
HR,German,0
Facilities,German,0
Purchasing,German,0
Legal,German,0
